player_name,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,month,day,opponent,team,score
Joao Moutinho,17.0,0.0,0.0,0.0,0.0,6.3,Aug,15,Servette,Braga,2.0
Joao Moutinho,90.0,0.0,0.0,1.0,0.0,7.5,Aug,11,Estrela da Amadora,Braga,1.0
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,6.5,Aug,8,Servette,Braga,0.0
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,7.3,Jul,25,Maccabi Petach Tikva,Braga,2.0
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,7.2,May,18,FC Porto,Braga,0.0
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,6.9,May,11,Vitoria de Guimaraes,Braga,3.0
Joao Moutinho,83.0,0.0,0.0,0.0,0.0,7.1,May,5,Casa Pia AC,Braga,4.0
Joao Moutinho,90.0,0.0,0.0,1.0,0.0,7.2,Apr,27,Benfica,Braga,1.0
Joao Moutinho,88.0,0.0,1.0,0.0,0.0,8.6,Apr,20,Vizela,Braga,2.0
Miguel Reisinho,87.0,0.0,0.0,0.0,0.0,7.0,Aug,24,Famalicao,Boavista,0.0
Miguel Reisinho,90.0,0.0,0.0,0.0,0.0,7.2,Aug,18,Braga,Boavista,0.0
Miguel Reisinho,90.0,1.0,0.0,0.0,0.0,8.3,Aug,10,Casa Pia AC,Boavista,1.0
Miguel Reisinho,90.0,1.0,0.0,0.0,0.0,7.6,May,18,Vizela,Boavista,2.0
Miguel Reisinho,89.0,0.0,0.0,1.0,0.0,7.1,May,12,FC Porto,Boavista,1.0
Miguel Reisinho,90.0,0.0,0.0,1.0,0.0,7.1,May,4,Gil Vicente,Boavista,1.0
Miguel Reisinho,52.0,0.0,0.0,0.0,0.0,6.4,Apr,27,Vitoria de Guimaraes,Boavista,1.0
Miguel Reisinho,86.0,0.0,0.0,0.0,0.0,7.1,Apr,20,Estrela da Amadora,Boavista,1.0
Miguel Reisinho,45.0,0.0,0.0,0.0,0.0,6.2,Apr,14,Arouca,Boavista,1.0
Otavio,90.0,0.0,0.0,0.0,0.0,7.6,Aug,24,Rio Ave,FC Porto,2.0
Otavio,90.0,0.0,0.0,0.0,0.0,7.3,Aug,16,Santa Clara,FC Porto,2.0
Otavio,90.0,0.0,0.0,0.0,0.0,7.6,Aug,10,Gil Vicente,FC Porto,3.0
Otavio,120.0,0.0,0.0,1.0,0.0,6.2,Aug,3,Sporting CP,FC Porto,4.0
Otavio,120.0,0.0,0.0,1.0,0.0,7.2,May,26,Sporting CP,FC Porto,2.0
Otavio,90.0,0.0,0.0,0.0,0.0,7.5,May,18,Braga,FC Porto,1.0
Otavio,90.0,0.0,1.0,1.0,0.0,7.5,May,12,Boavista,FC Porto,2.0
Otavio,90.0,0.0,0.0,0.0,0.0,7.2,May,4,Chaves,FC Porto,3.0
Baptiste Roux,90.0,0.0,0.0,0.0,0.0,8.1,Aug,25,Vitoria de Guimaraes,AVS Futebol SAD,1.0
Baptiste Roux,90.0,0.0,0.0,0.0,0.0,7.0,Aug,16,Gil Vicente,AVS Futebol SAD,2.0
Baptiste Roux,90.0,0.0,0.0,0.0,0.0,7.3,Aug,10,Nacional,AVS Futebol SAD,1.0
Ivan Zlobin,90.0,0.0,0.0,0.0,0.0,7.6,Aug,24,Boavista,Famalicao,1.0
Ivan Zlobin,90.0,0.0,0.0,1.0,0.0,7.3,Aug,19,Estrela da Amadora,Famalicao,3.0
Ivan Zlobin,90.0,0.0,0.0,0.0,0.0,5.5,May,17,Casa Pia AC,Famalicao,1.0
Nicolás Otamendi,90.0,0.0,0.0,0.0,0.0,7.5,Aug,24,Estrela da Amadora,Benfica,1.0
Nicolás Otamendi,5.0,0.0,0.0,0.0,0.0,7.1,Aug,17,Casa Pia AC,Benfica,3.0
Nicolás Otamendi,90.0,0.0,0.0,0.0,0.0,8.0,Aug,2,France U,Benfica,0.0
Geny Catamo,90.0,0.0,0.0,0.0,0.0,7.7,Aug,23,Farense,Sporting CP,5.0
Geny Catamo,79.0,0.0,1.0,0.0,0.0,7.4,Aug,17,Nacional,Sporting CP,6.0
Geny Catamo,76.0,0.0,0.0,1.0,0.0,7.2,Aug,9,Rio Ave,Sporting CP,3.0
Geny Catamo,120.0,0.0,0.0,0.0,0.0,7.7,Aug,3,FC Porto,Sporting CP,3.0
Geny Catamo,71.0,0.0,0.0,0.0,0.0,7.3,May,26,FC Porto,Sporting CP,1.0
