player_name,team,Height,Age,Market value,Primary,Touches,Shot attempts,Goals,Chances created,Aerial duels won,Defensive actions
Telasco Segovia,Casa Pia AC,172,21,800000.0,Central Midfielder,55,70,0,30,4,88
Talys Oliveira,Farense,181,25,350000.0,Left-back,28,7,0,84,67,93
Salvador Agra,Boavista,166,32,530000.0,Left Winger,9,92,86,91,4,1
Tiago Dias,Casa Pia AC,173,26,350000.0,Right Midfielder,24,55,66,89,1,6
Arvin Appiah,Nacional,175,23,480000.0,Right Winger,19,4,0,3,34,20
Rodrigo Pinho,Estrela da Amadora,185,33,1500000.0,Striker,26,6,11,75,32,53
Claudio Falcao,Farense,170,30,650000.0,Defensive Midfielder,18,57,63,14,87,100
Patrick,Rio Ave,186,27,710000.0,Center-back,66,98,77,42,11,62
Tommie van de Looi,Famalicao,186,25,850000.0,Central Midfielder,84,60,0,38,83,74
Babatunde Akinsola,AVS Futebol SAD,175,21,250000.0,Left-back,45,3,0,58,48,99
Duplexe Tchamba,Casa Pia AC,191,26,350000.0,Center-back,35,86,72,33,45,92
Pablo,Casa Pia AC,183,24,650000.0,Central Midfielder,40,87,42,65,20,28
Marco Matias,Farense,177,35,900000.0,Left Winger,10,24,11,22,37,66
Ruben Macedo,Nacional,170,28,0.0,Left Winger,0,0,0,0,0,0
Adrián Butzke,Nacional,193,25,350000.0,Striker,88,30,0,49,95,86
Alfonso Trezza,Arouca,166,25,850000.0,Right Winger,20,4,0,43,20,93
Joao Carvalho,Estoril,172,27,2300000.0,Defensive Midfielder,88,93,73,84,42,22
Weverson,Arouca,185,24,650000.0,Left-back,47,30,52,49,49,41
Sebastian Perez,Boavista,175,31,1600000.0,Defensive Midfielder,88,25,0,10,36,78
Gianluca Prestianni,Benfica,165,18,9500000.0,Attacking Midfielder,49,59,0,50,72,6
Sandro Cruz,Gil Vicente,181,23,440000.0,Left-back,16,6,61,24,50,77
Josué,Gil Vicente,186,32,750000.0,Center-back,52,14,0,77,20,44
Gabrielzinho,Moreirense,171,28,450000.0,Left Winger,18,13,50,38,73,24
Renato Sanches,Benfica,176,27,6000000.0,Central Midfielder,96,85,84,79,46,49
Diogo Calila,Santa Clara,180,25,330000.0,Right Midfielder,0,0,0,0,0,0
Joao Costa,Santa Clara,185,24,0.0,forward,0,0,0,0,0,0
Afonso Freitas,Nacional,181,24,1100000.0,Left Midfielder,19,5,0,72,84,55
Raul Blanco,Casa Pia AC,173,23,0.0,Striker,0,0,0,0,0,0
Matias Rocha,Arouca,183,23,450000.0,Center-back,83,38,89,0,32,16
Renato Pantalon,Rio Ave,194,26,480000.0,Center-back,37,12,72,5,14,60
Daniel Penha,Nacional,170,25,730000.0,Right Midfielder,91,100,98,85,26,9
Isaac Aguiar,Nacional,185,20,550000.0,forward,0,0,0,0,0,0
Wagner Pina,Estoril,180,21,25000.0,Right Midfielder,47,26,0,1,65,88
Andre Franco,FC Porto,177,26,3400000.0,Right Midfielder,70,68,0,91,12,34
Joao Graca,Rio Ave,177,29,420000.0,Central Midfielder,58,5,0,48,72,80
Fabricio Garcia,Estoril,172,23,30000.0,Right Winger,20,34,80,4,0,78
Pedro Santos,Moreirense,178,21,2000000.0,Striker,0,0,0,0,0,0
Yair Mena,AVS Futebol SAD,178,24,50000.0,Right Winger,0,0,0,0,0,0
Guilherme Liberato,Moreirense,183,23,30000.0,Central Midfielder,0,0,0,0,0,0
Rodrigo Pinheiro,Famalicao,181,22,1500000.0,Right-back,0,0,0,0,0,0
Andre Lacximicant,Estoril,190,23,450000.0,Striker,0,0,0,0,0,0
Robert Bozenik,Boavista,188,24,6000000.0,Striker,28,85,16,2,44,81
Jordi Mboula,Gil Vicente,183,25,1200000.0,Right Winger,19,39,21,39,84,63
Adriano,Santa Clara,190,24,600000.0,Central Midfielder,0,0,0,0,0,0
Joao Mario,FC Porto,176,24,17000000.0,Right-back,68,68,72,77,20,16
Filipe Soares,Farense,177,25,1500000.0,Attacking Midfielder,81,30,85,35,0,44
Fabiano Silva,Moreirense,175,24,3400000.0,Right-back,41,10,53,29,32,79
Eric Veiga,AVS Futebol SAD,183,27,0.0,Left-back,0,0,0,0,0,0
Marco Moreno,Farense,191,23,200000.0,Center-back,0,0,0,0,0,0
Manu Silva,Vitoria de Guimaraes,190,23,850000.0,Center-back,27,94,99,66,73,58
Max Svensson,Casa Pia AC,183,22,450000.0,forward,0,0,0,0,0,0
Ole Pohlmann,Rio Ave,184,23,1600000.0,Central Midfielder,8,97,100,93,14,1
Vladislav Morozov,Arouca,188,23,950000.0,Striker,7,27,0,6,60,26
Tomané,Farense,182,31,200000.0,Striker,0,0,0,0,0,0
Dario Poveda,Farense,185,27,550000.0,Striker,13,4,16,6,49,1
Nino Galovic,Arouca,184,32,750000.0,Center-back,67,9,0,23,31,17
Gustavo Mendonca,AVS Futebol SAD,176,21,200000.0,Central Midfielder,0,0,0,0,0,0
Hélder Costa,Estoril,178,30,2000000.0,Right Winger,0,0,0,0,0,0
Elves,Farense,168,24,300000.0,Right Winger,23,54,12,8,60,50
