text,href
270JosuéPlayer of the Match: 06.17,/en-GB/players/242872/josue
271GabrielzinhoPlayer of the Match: 06.16,/en-GB/players/824456/gabrielzinho
272Renato SanchesPlayer of the Match: 06.16,/en-GB/players/589344/renato-sanches
273Diogo CalilaPlayer of the Match: 06.15,/en-GB/players/1014983/diogo-calila
274Joao CostaPlayer of the Match: 06.15,/en-GB/players/1402621/joao-costa
275Afonso FreitasPlayer of the Match: 06.14,/en-GB/players/1355720/afonso-freitas
276Raul BlancoPlayer of the Match: 06.14,/en-GB/players/1187468/raul-blanco
277Matias RochaPlayer of the Match: 06.13,/en-GB/players/1231074/matias-rocha
278Francisco PereiraPlayer of the Match: 06.12,/en-GB/players/1231907/francisco-pereira
279Renato PantalonPlayer of the Match: 06.12,/en-GB/players/978957/renato-pantalon
280Marcos LeonardoPlayer of the Match: 06.12,/en-GB/players/1174663/marcos-leonardo
281Daniel PenhaPlayer of the Match: 06.11,/en-GB/players/813810/daniel-penha
282Isaac AguiarPlayer of the Match: 06.11,/en-GB/players/1459741/isaac-aguiar
283Wagner PinaPlayer of the Match: 06.11,/en-GB/players/1460591/wagner-pina
284Andre FrancoPlayer of the Match: 06.10,/en-GB/players/1080684/andre-franco
285Joao GracaPlayer of the Match: 06.09,/en-GB/players/488540/joao-graca
286Fabricio GarciaPlayer of the Match: 06.09,/en-GB/players/1413282/fabricio-garcia
287Pedro SantosPlayer of the Match: 06.09,/en-GB/players/1356599/pedro-santos
288Ricardo BatistaPlayer of the Match: 06.09,/en-GB/players/35453/ricardo-batista
289Yair MenaPlayer of the Match: 06.09,/en-GB/players/1200655/yair-mena
290Guilherme LiberatoPlayer of the Match: 06.08,/en-GB/players/1668273/guilherme-liberato
291Rodrigo PinheiroPlayer of the Match: 06.08,/en-GB/players/1080508/rodrigo-pinheiro
292Andre LacximicantPlayer of the Match: 06.08,/en-GB/players/1254302/andre-lacximicant
293Robert BozenikPlayer of the Match: 06.07,/en-GB/players/922622/robert-bozenik
294Jordi MboulaPlayer of the Match: 06.07,/en-GB/players/748378/jordi-mboula
295AdrianoPlayer of the Match: 06.06,/en-GB/players/1071102/adriano
296Joao MarioPlayer of the Match: 06.06,/en-GB/players/958421/joao-mario
297Filipe SoaresPlayer of the Match: 06.06,/en-GB/players/793256/filipe-soares
298Fabiano SilvaPlayer of the Match: 06.06,/en-GB/players/1165259/fabiano-silva
299Eric VeigaPlayer of the Match: 06.05,/en-GB/players/754959/eric-veiga
300André SousaPlayer of the Match: 06.04,/en-GB/players/281205/andre-sousa
301Marco MorenoPlayer of the Match: 06.03,/en-GB/players/1343136/marco-moreno
302Manu SilvaPlayer of the Match: 06.03,/en-GB/players/1198071/manu-silva
303Max SvenssonPlayer of the Match: 06.03,/en-GB/players/1199722/max-svensson
304Ole PohlmannPlayer of the Match: 06.02,/en-GB/players/1187364/ole-pohlmann
305Vladislav MorozovPlayer of the Match: 06.02,/en-GB/players/1118881/vladislav-morozov
306TomanéPlayer of the Match: 06.01,/en-GB/players/212695/tomane
307UlissesPlayer of the Match: 06.00,/en-GB/players/1130707/ulisses
308ClaytonPlayer of the Match: 05.99,/en-GB/players/1200928/clayton
309Dario PovedaPlayer of the Match: 05.99,/en-GB/players/816190/dario-poveda
310Nino GalovicPlayer of the Match: 05.98,/en-GB/players/289213/nino-galovic
311Gustavo MendoncaPlayer of the Match: 05.96,/en-GB/players/1437425/gustavo-mendonca
312Hélder CostaPlayer of the Match: 05.93,/en-GB/players/361790/helder-costa
313ElvesPlayer of the Match: 05.87,/en-GB/players/783619/elves
314GeovannyPlayer of the Match: 05.87,/en-GB/players/1586387/geovanny
