player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Andre Horta,Jan 28PAS Giannina3-1,6100007.4,61,0,0,0,0,7.4
Andre Horta,Jan 21Aris Thessaloniki FC1-2,00000-,0,0,0,0,0,-
Andre Horta,Jan 18Famalicao1-2,00000-,0,0,0,0,0,-
Andre Horta,Jan 14FC Porto2-0,3100007.1,31,0,0,0,0,7.1
Geovany Quenda,Aug 31FC Porto2-0,8000007.2,80,0,0,0,0,7.2
Geovany Quenda,Aug 23Farense0-5,6300006.7,63,0,0,0,0,6.7
Geovany Quenda,Aug 17Nacional1-6,9000008.4,90,0,0,0,0,8.4
Geovany Quenda,Aug 9Rio Ave3-1,9000008.3,90,0,0,0,0,8.3
Geovany Quenda,Aug 3FC Porto3-4,12010007.6,120,1,0,0,0,7.6
Geovany Quenda,Mar 6Atalanta1-1,00000-,0,0,0,0,0,-
Geovany Quenda,"Nov 5, 2023Estrela da Amadora3-2",00000-,0,0,0,0,0,-
Geovany Quenda,,,,,,,,
Geovany Quenda,Aug 31FC Porto2-0,8000007.2,80,0,0,0,0,7.2
Geovany Quenda,Aug 23Farense0-5,6300006.7,63,0,0,0,0,6.7
Geovany Quenda,Aug 17Nacional1-6,9000008.4,90,0,0,0,0,8.4
Geovany Quenda,Aug 9Rio Ave3-1,9000008.3,90,0,0,0,0,8.3
Geovany Quenda,Aug 3FC Porto3-4,12010007.6,120,1,0,0,0,7.6
Geovany Quenda,Mar 6Atalanta1-1,00000-,0,0,0,0,0,-
Geovany Quenda,"Nov 5, 2023Estrela da Amadora3-2",00000-,0,0,0,0,0,-
Geovany Quenda,,,,,,,,
Enea Mihaj,Apr 6Vizela3-2,9000007.3,90,0,0,0,0,7.3
Enea Mihaj,Mar 29Gil Vicente1-2,00000-,0,0,0,0,0,-
Enea Mihaj,Mar 25Sweden1-0,9000006.8,90,0,0,0,0,6.8
Enea Mihaj,Mar 22Chile0-3,9000006.0,90,0,0,0,0,6.0
Enea Mihaj,Mar 16Estrela da Amadora0-0,9000007.5,90,0,0,0,0,7.5
Enea Mihaj,Mar 9Vitoria de Guimaraes1-0,7200106.3,72,0,0,1,0,6.3
Enea Mihaj,Mar 4Boavista1-1,9000006.3,90,0,0,0,0,6.3
Enea Mihaj,Feb 23Arouca3-2,7100106.4,71,0,0,1,0,6.4
Enea Mihaj,Feb 16Rio Ave2-1,9000007.6,90,0,0,0,0,7.6
Enea Mihaj,Feb 10Farense1-1,9000107.3,90,0,0,1,0,7.3
Enea Mihaj,Jan 28Moreirense1-0,9000006.5,90,0,0,0,0,6.5
Enea Mihaj,Jan 18Braga1-2,9000006.4,90,0,0,0,0,6.4
Enea Mihaj,Jan 13Casa Pia AC0-2,9000007.2,90,0,0,0,0,7.2
Enea Mihaj,Jan 7Chaves2-2,9000007.7,90,0,0,0,0,7.7
Enea Mihaj,"Dec 29, 2023Benfica3-0",9000005.9,90,0,0,0,0,5.9
Enea Mihaj,"Dec 17, 2023Estoril1-1",7700106.7,77,0,0,1,0,6.7
Enea Mihaj,"Dec 9, 2023Portimonense1-1",00000-,0,0,0,0,0,-
Enea Mihaj,"Nov 4, 2023Gil Vicente3-1",8000007.1,80,0,0,0,0,7.1
Enea Mihaj,"Oct 17, 2023Bulgaria2-0",900000-,90,0,0,0,0,-
Enea Mihaj,"Sep 30, 2023Boavista2-2",00000-,0,0,0,0,0,-
Adrián Marin,May 18FC Porto0-1,00000-,0,0,0,0,0,-
Adrián Marin,May 11Vitoria de Guimaraes2-3,00000-,0,0,0,0,0,-
Adrián Marin,May 5Casa Pia AC4-3,00000-,0,0,0,0,0,-
Adrián Marin,Apr 27Benfica3-1,00000-,0,0,0,0,0,-
Adrián Marin,Apr 20Vizela2-1,00000-,0,0,0,0,0,-
Adrián Marin,Jan 14FC Porto2-0,1500006.6,15,0,0,0,0,6.6
Adrián Marin,Jan 10Benfica3-2,00000-,0,0,0,0,0,-
Adrián Marin,Jan 6Vitoria de Guimaraes1-1,00000-,0,0,0,0,0,-
Adrián Marin,"Dec 30, 2023Casa Pia AC1-3",00000-,0,0,0,0,0,-
Adrián Marin,"Dec 17, 2023Benfica0-1",00000-,0,0,0,0,0,-
