player_names,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings,Month,Day,Opponent
Francisco Moura,90.0,0.0,0.0,0.0,0.0,6.6,Apr,13,FC Porto
Tiago Silva,61.0,0.0,0.0,1.0,0.0,7.1,Sep,1,Famalicao
Tiago Silva,90.0,0.0,2.0,0.0,0.0,8.3,Aug,21,Zrinjski Mostar
Tiago Silva,83.0,0.0,1.0,0.0,0.0,8.4,Aug,18,Estoril
Tiago Silva,79.0,0.0,0.0,1.0,0.0,6.7,Aug,12,Arouca
Tiago Silva,90.0,0.0,0.0,0.0,0.0,7.6,Aug,1,Floriana
Tiago Silva,89.0,0.0,0.0,0.0,0.0,7.6,Jul,25,Floriana
Tiago Silva,79.0,0.0,0.0,1.0,0.0,7.3,May,18,Arouca
Tiago Silva,90.0,0.0,0.0,0.0,0.0,6.7,May,11,Braga
Calegari,78.0,0.0,0.0,0.0,0.0,6.2,Sep,1,Vitoria de Guimaraes
Calegari,90.0,0.0,0.0,0.0,0.0,8.0,Aug,24,Boavista
Calegari,86.0,0.0,0.0,0.0,0.0,7.6,Aug,19,Estrela da Amadora
Calegari,68.0,0.0,0.0,0.0,0.0,7.2,Aug,11,Benfica
Calegari,19.0,0.0,0.0,0.0,0.0,5.8,Jun,23,Flamengo
Calegari,59.0,0.0,0.0,0.0,0.0,7.1,Jun,20,Cruzeiro
Goncalo Inacio,90.0,0.0,0.0,0.0,0.0,7.3,Aug,31,FC Porto
Goncalo Inacio,90.0,0.0,1.0,0.0,0.0,8.3,Aug,23,Farense
Goncalo Inacio,90.0,0.0,0.0,1.0,0.0,7.5,Aug,17,Nacional
Goncalo Inacio,90.0,0.0,0.0,0.0,0.0,6.9,Aug,9,Rio Ave
Goncalo Inacio,101.0,1.0,0.0,0.0,0.0,7.4,Aug,3,FC Porto
Goncalo Inacio,90.0,0.0,0.0,0.0,0.0,8.0,Jun,26,Georgia
Goncalo Inacio,27.0,0.0,0.0,0.0,0.0,6.7,Jun,18,Czechia
John Mercado,84.0,0.0,0.0,0.0,0.0,6.6,Aug,31,Santa Clara
John Mercado,90.0,0.0,0.0,0.0,0.0,7.0,Aug,25,Vitoria de Guimaraes
John Mercado,77.0,0.0,1.0,0.0,0.0,7.4,Aug,16,Gil Vicente
John Mercado,89.0,1.0,0.0,0.0,0.0,8.3,Aug,10,Nacional
John Mercado,80.0,1.0,0.0,0.0,0.0,8.1,Jun,2,Portimonense
John Mercado,87.0,0.0,0.0,0.0,0.0,6.3,May,25,Portimonense
Hidemasa Morita,90.0,0.0,0.0,0.0,0.0,7.1,Aug,31,FC Porto
Hidemasa Morita,90.0,0.0,0.0,0.0,0.0,7.8,Aug,23,Farense
Hidemasa Morita,78.0,0.0,0.0,0.0,0.0,7.4,Aug,17,Nacional
Hidemasa Morita,89.0,0.0,0.0,0.0,0.0,7.5,Aug,9,Rio Ave
Hidemasa Morita,89.0,0.0,0.0,0.0,0.0,6.9,Aug,3,FC Porto
Hidemasa Morita,80.0,0.0,0.0,0.0,0.0,7.6,Jun,6,Myanmar
Hidemasa Morita,36.0,0.0,0.0,0.0,0.0,7.1,May,26,FC Porto
Hidemasa Morita,73.0,0.0,0.0,0.0,0.0,7.7,May,18,Chaves
Hidemasa Morita,89.0,0.0,0.0,0.0,0.0,7.4,May,11,Estoril
Alan Varela,84.0,0.0,0.0,1.0,0.0,7.4,Aug,31,Sporting CP
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.8,Aug,24,Rio Ave
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.4,Aug,16,Santa Clara
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.4,Aug,10,Gil Vicente
Alan Varela,120.0,0.0,0.0,1.0,0.0,6.9,Aug,3,Sporting CP
Alan Varela,85.0,0.0,0.0,0.0,0.0,7.9,Jul,28,Al Nassr FC
Alan Varela,85.0,0.0,0.0,1.0,0.0,7.3,May,26,Sporting CP
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.6,May,18,Braga
Alan Varela,90.0,0.0,0.0,1.0,0.0,7.4,May,12,Boavista
Alan Varela,90.0,0.0,0.0,0.0,0.0,7.4,May,4,Chaves
Mirko Topic,90.0,0.0,0.0,0.0,0.0,6.5,Sep,1,Vitoria de Guimaraes
Mirko Topic,90.0,0.0,0.0,0.0,0.0,7.1,Aug,24,Boavista
Mirko Topic,90.0,0.0,0.0,0.0,0.0,7.8,Aug,19,Estrela da Amadora
Mirko Topic,90.0,0.0,0.0,0.0,0.0,7.8,Aug,11,Benfica
Mirko Topic,75.0,0.0,0.0,0.0,0.0,6.3,May,17,Casa Pia AC
Mirko Topic,90.0,0.0,0.0,0.0,0.0,8.3,May,10,Chaves
Mirko Topic,90.0,0.0,1.0,0.0,0.0,8.7,May,5,Benfica
Mirko Topic,67.0,0.0,0.0,0.0,0.0,6.2,Apr,28,Estoril
Mirko Topic,55.0,0.0,0.0,0.0,0.0,6.7,Apr,21,Portimonense
Mirko Topic,78.0,0.0,0.0,0.0,0.0,6.7,Apr,16,Sporting CP
Joao Moutinho,17.0,0.0,0.0,0.0,0.0,6.3,Aug,15,Servette
Joao Moutinho,90.0,0.0,0.0,1.0,0.0,7.5,Aug,11,Estrela da Amadora
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,6.5,Aug,8,Servette
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,7.3,Jul,25,Maccabi Petach Tikva
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,7.2,May,18,FC Porto
Joao Moutinho,90.0,0.0,0.0,0.0,0.0,6.9,May,11,Vitoria de Guimaraes
Joao Moutinho,83.0,0.0,0.0,0.0,0.0,7.1,May,5,Casa Pia AC
Joao Moutinho,90.0,0.0,0.0,1.0,0.0,7.2,Apr,27,Benfica
Joao Moutinho,88.0,0.0,1.0,0.0,0.0,8.6,Apr,20,Vizela
Miguel Reisinho,89.0,0.0,0.0,1.0,0.0,7.2,Aug,31,Estoril
Miguel Reisinho,87.0,0.0,0.0,0.0,0.0,7.0,Aug,24,Famalicao
Miguel Reisinho,90.0,0.0,0.0,0.0,0.0,7.2,Aug,18,Braga
Miguel Reisinho,90.0,1.0,0.0,0.0,0.0,8.3,Aug,10,Casa Pia AC
Miguel Reisinho,90.0,1.0,0.0,0.0,0.0,7.6,May,18,Vizela
Miguel Reisinho,89.0,0.0,0.0,1.0,0.0,7.1,May,12,FC Porto
Miguel Reisinho,90.0,0.0,0.0,1.0,0.0,7.1,May,4,Gil Vicente
Miguel Reisinho,52.0,0.0,0.0,0.0,0.0,6.4,Apr,27,Vitoria de Guimaraes
Miguel Reisinho,86.0,0.0,0.0,0.0,0.0,7.1,Apr,20,Estrela da Amadora
Miguel Reisinho,45.0,0.0,0.0,0.0,0.0,6.2,Apr,14,Arouca
Otavio,90.0,0.0,0.0,1.0,0.0,6.2,Aug,31,Sporting CP
Otavio,90.0,0.0,0.0,0.0,0.0,7.6,Aug,24,Rio Ave
Otavio,90.0,0.0,0.0,0.0,0.0,7.3,Aug,16,Santa Clara
