player_names,matchday_details,matchday_stats,minutes_played,goals_scored,assists,yellow_cards,red_cards,player_ratings
Daniel Braganca,Aug 31FC Porto2-0,40000-,4,0,0,0,0,-
Daniel Braganca,Aug 23Farense0-5,7200107.7,72,0,0,1,0,7.7
Daniel Braganca,Aug 17Nacional1-6,9011008.9,90,1,1,0,0,8.9
Daniel Braganca,Aug 9Rio Ave3-1,1400006.4,14,0,0,0,0,6.4
Daniel Braganca,Aug 3FC Porto3-4,3100006.6,31,0,0,0,0,6.6
Daniel Braganca,May 26FC Porto2-1,490010-,49,0,0,1,0,-
Daniel Braganca,May 18Chaves3-0,1700006.1,17,0,0,0,0,6.1
Daniel Braganca,May 11Estoril0-1,5700007.0,57,0,0,0,0,7.0
Daniel Braganca,May 4Portimonense3-0,2201007.8,22,0,1,0,0,7.8
Daniel Braganca,Apr 28FC Porto2-2,4500006.4,45,0,0,0,0,6.4
Francisco Moura,,,,,,,,
Francisco Moura,Sep 1Vitoria de Guimaraes2-1,9000006.5,90,0,0,0,0,6.5
Francisco Moura,Aug 24Boavista1-0,9001007.9,90,0,1,0,0,7.9
Francisco Moura,Aug 19Estrela da Amadora0-3,9000007.2,90,0,0,0,0,7.2
Francisco Moura,Aug 11Benfica2-0,9000007.8,90,0,0,0,0,7.8
Francisco Moura,May 17Casa Pia AC1-2,9000106.3,90,0,0,1,0,6.3
Francisco Moura,May 10Chaves0-1,9000007.3,90,0,0,0,0,7.3
Francisco Moura,May 5Benfica2-0,9000007.9,90,0,0,0,0,7.9
Francisco Moura,Apr 28Estoril1-0,9000006.6,90,0,0,0,0,6.6
Francisco Moura,Apr 21Portimonense2-2,9001008.7,90,0,1,0,0,8.7
Francisco Moura,Apr 13FC Porto2-2,9000006.6,90,0,0,0,0,6.6
Tiago Silva,,,,,,,,
Tiago Silva,Sep 1Famalicao2-1,6100107.1,61,0,0,1,0,7.1
Tiago Silva,Aug 21Zrinjski Mostar3-0,9002008.3,90,0,2,0,0,8.3
Tiago Silva,Aug 18Estoril1-0,8301008.4,83,0,1,0,0,8.4
Tiago Silva,Aug 15FC Zürich2-0,6901007.9,69,0,1,0,0,7.9
Tiago Silva,Aug 12Arouca0-1,7900106.7,79,0,0,1,0,6.7
Tiago Silva,Aug 8FC Zürich0-3,8900108.1,89,0,0,1,0,8.1
Tiago Silva,Aug 1Floriana4-0,900000-,90,0,0,0,0,-
Tiago Silva,Jul 25Floriana0-1,890000-,89,0,0,0,0,-
Tiago Silva,May 18Arouca1-3,7900107.3,79,0,0,1,0,7.3
Tiago Silva,May 11Braga2-3,9000006.7,90,0,0,0,0,6.7
Calegari,,,,,,,,
Calegari,Sep 1Vitoria de Guimaraes2-1,7800006.2,78,0,0,0,0,6.2
Calegari,Aug 24Boavista1-0,9000008.0,90,0,0,0,0,8.0
Calegari,Aug 19Estrela da Amadora0-3,8600007.6,86,0,0,0,0,7.6
Calegari,Aug 11Benfica2-0,6800007.2,68,0,0,0,0,7.2
Calegari,Jun 28Vitoria0-1,00000-,0,0,0,0,0,-
Calegari,Jun 23Flamengo0-1,1900005.8,19,0,0,0,0,5.8
Calegari,Jun 20Cruzeiro2-0,5900007.1,59,0,0,0,0,7.1
Calegari,Jun 1Juventude1-1,00000-,0,0,0,0,0,-
Calegari,May 30Alianza Lima3-2,00000-,0,0,0,0,0,-
Calegari,May 23Sampaio Correa2-0,00000-,0,0,0,0,0,-
Goncalo Inacio,,,,,,,,
Goncalo Inacio,Aug 31FC Porto2-0,9000007.3,90,0,0,0,0,7.3
Goncalo Inacio,Aug 23Farense0-5,9001008.3,90,0,1,0,0,8.3
Goncalo Inacio,Aug 17Nacional1-6,9000107.5,90,0,0,1,0,7.5
Goncalo Inacio,Aug 9Rio Ave3-1,9000006.9,90,0,0,0,0,6.9
Goncalo Inacio,Aug 3FC Porto3-4,10110007.4,101,1,0,0,0,7.4
Goncalo Inacio,Jul 5France3-5,00000-,0,0,0,0,0,-
Goncalo Inacio,Jul 1Slovenia3-0,00000-,0,0,0,0,0,-
Goncalo Inacio,Jun 26Georgia2-0,9000008.0,90,0,0,0,0,8.0
Goncalo Inacio,Jun 22Turkiye0-3,00000-,0,0,0,0,0,-
Goncalo Inacio,Jun 18Czechia2-1,2700006.7,27,0,0,0,0,6.7
John Mercado,,,,,,,,
John Mercado,Aug 31Santa Clara2-1,8400006.6,84,0,0,0,0,6.6
John Mercado,Aug 25Vitoria de Guimaraes1-0,9000007.0,90,0,0,0,0,7.0
John Mercado,Aug 16Gil Vicente4-2,7701007.4,77,0,1,0,0,7.4
John Mercado,Aug 10Nacional1-1,8910008.3,89,1,0,0,0,8.3
John Mercado,Jun 2Portimonense2-1,8010008.1,80,1,0,0,0,8.1
John Mercado,May 25Portimonense1-2,8700006.3,87,0,0,0,0,6.3
John Mercado,,,,,,,,
John Mercado,,,,,,,,
Hidemasa Morita,,,,,,,,
Hidemasa Morita,Aug 31FC Porto2-0,9000007.1,90,0,0,0,0,7.1
Hidemasa Morita,Aug 23Farense0-5,9000007.8,90,0,0,0,0,7.8
Hidemasa Morita,Aug 17Nacional1-6,7800007.4,78,0,0,0,0,7.4
Hidemasa Morita,Aug 9Rio Ave3-1,8900007.5,89,0,0,0,0,7.5
Hidemasa Morita,Aug 3FC Porto3-4,8900006.9,89,0,0,0,0,6.9
Hidemasa Morita,Jun 11Syria5-0,00000-,0,0,0,0,0,-
Hidemasa Morita,Jun 6Myanmar0-5,8000007.6,80,0,0,0,0,7.6
Hidemasa Morita,May 26FC Porto2-1,360000-,36,0,0,0,0,-
Hidemasa Morita,May 18Chaves3-0,7300007.7,73,0,0,0,0,7.7
Hidemasa Morita,May 11Estoril0-1,8900007.4,89,0,0,0,0,7.4
Alan Varela,,,,,,,,
Alan Varela,Aug 31Sporting CP2-0,8400107.4,84,0,0,1,0,7.4
Alan Varela,Aug 24Rio Ave2-0,9000007.8,90,0,0,0,0,7.8
Alan Varela,Aug 16Santa Clara0-2,9000007.4,90,0,0,0,0,7.4
Alan Varela,Aug 10Gil Vicente3-0,9000007.4,90,0,0,0,0,7.4
Alan Varela,Aug 3Sporting CP3-4,12000106.9,120,0,0,1,0,6.9
Alan Varela,Jul 28Al Nassr FC4-0,8500007.9,85,0,0,0,0,7.9
Alan Varela,May 26Sporting CP2-1,850010-,85,0,0,1,0,-
Alan Varela,May 18Braga0-1,9000007.6,90,0,0,0,0,7.6
